"comentario_admin","asignacion","fecha","hora_salida","modificado_por","hora_entrada","usuario","estado_registro","fecha_modificacion","id","created_date","updated_date","created_by_id","is_sample"
"","6a7f42b252bc48c0965a9ff0","2026-08-14","10:31","6a7e9be6321b11bdda3d2ef5","10:31","6a7ea0b518e1407f1d5c99ea","cerrado","2026-08-14T16:31:48.678Z","6a7f42ee8647e27cd95acbe1","2026-08-14T16:31:42.266000","2026-08-14T16:31:48.137000","6a7ea0b518e1407f1d5c99ea","false"
"NO ESTA EN BODEGA","6a7ebe67e6a3a519bcc9ea0c","2026-08-14","10:20","6a7e9be6321b11bdda3d2ef5","10:20","6a7ea0b518e1407f1d5c99ea","cerrado","2026-08-14T16:20:49.986Z","6a7f4049a90f8fbb752d538d","2026-08-14T16:20:25.927000","2026-08-14T16:20:49.460000","6a7ea0b518e1407f1d5c99ea","false"
"","6a7ebeb7ecf3fa8df46b4cc0","2026-08-14","01:09","","01:09","6a7ea0b518e1407f1d5c99ea","incompleto","2026-08-14T07:09:31.032Z","6a7ebf2892cc90f8f0747137","2026-08-14T07:09:28.396000","2026-08-14T07:09:31.127000","6a7ea0b518e1407f1d5c99ea","false"
"","6a7eae51a3b492968346077e","2026-08-13","23:58","","23:58","6a7ea0b518e1407f1d5c99ea","incompleto","2026-08-14T05:58:05.374Z","6a7eae6c67b7c1e591f4b27f","2026-08-14T05:58:04.849000","2026-08-14T05:58:05.442000","6a7ea0b518e1407f1d5c99ea","false"
"","6a7eae51a3b492968346077e","2026-08-13","23:58","","23:58","6a7ea0b518e1407f1d5c99ea","incompleto","2026-08-14T05:58:04.265Z","6a7eae6bf89ca3a3ab4be344","2026-08-14T05:58:03.200000","2026-08-14T05:58:04.339000","6a7ea0b518e1407f1d5c99ea","false"
"","6a7eae51a3b492968346077e","2026-08-13","23:57","","23:57","6a7ea0b518e1407f1d5c99ea","incompleto","2026-08-14T05:57:58.534Z","6a7eae631b3042f87407a4d6","2026-08-14T05:57:55.348000","2026-08-14T05:57:58.591000","6a7ea0b518e1407f1d5c99ea","false"
"","6a7eae51a3b492968346077e","2026-08-13","23:57","","23:57","6a7ea0b518e1407f1d5c99ea","incompleto","2026-08-14T05:57:54.490Z","6a7eae5cfa2e6df0f6599fbb","2026-08-14T05:57:48.066000","2026-08-14T05:57:54.585000","6a7ea0b518e1407f1d5c99ea","false"
"fuera de horario
","6a7ea290d955edad8ce90563","2026-08-13","23:25","6a7e9be6321b11bdda3d2ef5","23:24","6a7ea0b518e1407f1d5c99ea","cerrado","2026-08-14T05:25:09.615Z","6a7ea69f844602cbb536c1ed","2026-08-14T05:24:47.743000","2026-08-14T05:25:08.411000","6a7ea0b518e1407f1d5c99ea","false"
"no esta presente","6a7ea295e4670daa7f20f6f1","2026-08-13","23:18","6a7e9be6321b11bdda3d2ef5","23:17","6a7ea0b518e1407f1d5c99ea","cerrado","2026-08-14T05:18:31.799Z","6a7ea4ef5414e8d0321e1130","2026-08-14T05:17:35.877000","2026-08-14T05:20:27.203000","6a7ea0b518e1407f1d5c99ea","false"
