"fecha_fin_estimada","usuario","estado","fecha_inicio","actividad","id","created_date","updated_date","created_by_id","is_sample"
"","6a7ea0b518e1407f1d5c99ea","cancelado","2026-08-14","6a7f42a1fe51acb0735474e8","6a7f439ecdbbd2b8dfafbb34","2026-08-14T16:34:38.164000","2026-08-14T19:00:26.330000","6a7eb9749a3345f556d7316d","false"
"","6a7ea0b518e1407f1d5c99ea","cancelado","2026-08-14","6a7ebea082c4d990ce98a67d","6a7f42b252bc48c0965a9ff0","2026-08-14T16:30:42.107000","2026-08-14T16:41:45.545000","6a7e9be6321b11bdda3d2ef5","false"
"","6a7ea0b518e1407f1d5c99ea","cancelado","2026-08-14","6a7ebdc55de0d0bc52a0093f","6a7ebe67e6a3a519bcc9ea0c","2026-08-14T07:06:15.335000","2026-08-14T16:41:40.631000","6a7eb9749a3345f556d7316d","false"
