"hora_apertura","tiempo_minimo_registro","hora_cierre","dias_laborales","periodo_actual","id","created_date","updated_date","created_by_id","is_sample"
"20:00","30","23:23","Lunes,Martes,Miércoles,Jueves,Viernes","Agosto–Diciembre 2026","6a7ea4d901a840fc8a680203","2026-08-14T05:17:13.570000","2026-08-14T05:17:13.570000","6a7e9be6321b11bdda3d2ef5","false"
"09:00","30","17:30","Lunes,Martes,Miércoles,Jueves,Viernes","Agosto–Diciembre 2026","6a7ea4cf9c11cb33ef5588d4","2026-08-14T05:17:03.737000","2026-08-14T14:15:24.464000","6a7e9be6321b11bdda3d2ef5","false"
